country,isocode,year,region,PI_region,income,landlocked,lcapitalpw,lcapitalpw_year,grdomsav,grdomsav_year,unemped,unemped_year,lnploans,lnploans_year,lmarketsize,lmarketsize_year,lhitechexp,lhitechexp_year,lfdisv,lfdisv_year,linflB,linflB_year,inflB,inflB_year,absgdppcgrowth,absgdppcgrowth_year,econexpect,econexpect_year,jobmarket,jobmarket_year,index_foodshelter,index_foodshelter_year,lgrdomsav,lgrdomsav_year,FIconfidence,FIconfidence_year,employed,employed_year,satlivstandard,satlivstandard_year,lintlband,lintlband_year,mobilegdp,mobilegdp_year,lictexp,lictexp_year,lroyaltyrec,lroyaltyrec_year,predictedRD,predictedRD_year,unevenecondev,unevenecondev_year,lstartupcost,lstartupcost_year,linternetserverB,linternetserverB_year,startupcost,startupcost_year,mobileswb,mobileswb_year,enventrep,enventrep_year,workhard,workhard_year,polrights,polrights_year,govtype,govtype_year,govstability,govstability_year,polconstraint,polconstraint_year,goveffectiveB,goveffectiveB_year,rulelawB,rulelawB_year,executiveB,executiveB_year,regulationB,regulationB_year,index_corruption,index_corruption_year,courtapprove,courtapprove_year,confelections,confelections_year,confidentmilit,confidentmilit_year,voiced_concern,voiced_concern_year,addresspoverty,addresspoverty_year,govapprove,govapprove_year,enviropreserve,enviropreserve_year,primpuptoteach,primpuptoteach_year,girlstoboysnormB,girlstoboysnormB_year,netprimschB,netprimschB_year,grsecschB,grsecschB_year,grterschB,grterschB_year,secperwkrB,secperwkrB_year,terperwkrB,terperwkrB_year,childrenlearn,childrenlearn_year,educationqualsat,educationqualsat_year,dptimmun,dptimmun_year,measlimmun,measlimmun_year,tuberculosis,tuberculosis_year,lifexpectgdp,lifexpectgdp_year,ppphealthexpaidB,ppphealthexpaidB_year,infantmortalityB,infantmortalityB_year,undernourishB,undernourishB_year,respdisease,respdisease_year,haleswb,haleswb_year,sanitation,sanitation_year,hospbeds,hospbeds_year,healthsat,healthsat_year,wellrested,wellrested_year,worryyest,worryyest_year,healthproblems,healthproblems_year,waterqual,waterqual_year,envirobeautysat,envirobeautysat_year,propertystolen,propertystolen_year,stateviolencegdp,stateviolencegdp_year,assaultedB,assaultedB_year,safewalkingB,safewalkingB_year,refugeeidpB,refugeeidpB_year,grievanceB,grievanceB_year,humanemigrate,humanemigrate_year,stateviolenceswb,stateviolenceswb_year,demopressure,demopressure_year,warcasual,warcasual_year,expresspolitfear,expresspolitfear_year,civchoice,civchoice_year,tolimmigB,tolimmigB_year,tolethnicB,tolethnicB_year,freechoicesat,freechoicesat_year,civlib,civlib_year,relyB,relyB_year,volunteeredB,volunteeredB_year,donatedB,donatedB_year,helpedstrangerB,helpedstrangerB_year,relattend,relattend_year,trustothers,trustothers_year,married,married_year,,,,gdppcgrowth,royaltyrec,ictexp,capitalpw,fdisv,marketsize,nploans,hitechexp,internetserverB,intlband
_mean,,2012,,,,,10.0064649582,,17.5820992718,,10.9569190272,,1.9090356827,,24.2795295715,,1.7791993618,,1.1697057486,,1.6549474765,,176.9800211811,,2.9411690235,,1.978787303,,0.3413845301,,72.7623634204,,2.65731287,,0.6187430024,,0.5237944126,,0.5896013975,,10.4275255203,,98.7227400323,,0.9495199919,,13.1653356552,,0.7741125226,,6.4581081372,,2.5952250957,,3.3013780117,,36.2671059481,,0.7964791656,,0.7003073692,,0.8109765053,,4.676056385,,4.8086385727,,29,,0.4938818514,,0.0311737936,,-0.0642956495,,15.759847641,,0.0943912342,,66.8100311991,,0.5249139071,,0.5210874677,,0.7318143249,,0.1998798847,,0.3799566031,,0.5373818278,,0.5419681072,,25.3386289715,,0.9976306558,,90.2914440948,,77.5198511474,,36.5124747474,,2.4636871815,,0.4277041256,,0.7035405636,,0.6660511494,,89.2251281738,,88.0394287109,,123.7842253521,,69.6178438683,,1162.5684814453,,30.0049295775,,13.233522029,,97.9066539415,,60.4464416504,,73.1521126653,,3.1529533185,,0.7875282168,,0.6805462837,,0.3365078568,,0.238705337,,0.688634634,,0.7223098278,,0.1677561104,,3.4624648094,,0.0744807497,,0.6188536882,,5.1884715889,,6.0282935475,,5.3764811234,,2.5375351906,,6.0369504136,,0.4107746482,,2.4288425446,,0.4427295923,,0.6500448585,,0.6665740609,,0.7342664599,,4.7605633736,,0.80558604,,0.19068259,,0.2803217471,,0.4568024278,,0.4920964241,,0.2413983494,,0.5103533864,,,,,2.6666257381,1556092416,4.3161921501,46788.10546875,3.289494276,259440689152,8.0805654526,8.8913135529,303.5242919922,531130.875
_mean,,2013,,,,,10.0697908401,,19.2014794592,,10.5540929332,,1.8607046604,,24.4567432404,,1.8431400061,,1.3177384138,,1.7005582422,,6.190281215,,2.6592409611,,1.9396882057,,0.3380979896,,71.1528170948,,2.6648113728,,0.5948095322,,0.5831057429,,0.5817341805,,10.8798265457,,103.8821125568,,0.8839834332,,14.9532012939,,0.8268880844,,6.2647887166,,2.5269117355,,3.4204227924,,31.3436621701,,0.8197918534,,0.7003089786,,0.8095231056,,4.676056385,,4.8988018036,,29.7253513336,,0.4904122651,,0.0377464779,,-0.0649295822,,16.7861328125,,0.0988028124,,67.3416973302,,0.5213519931,,0.5136146545,,0.719863534,,0.1929116845,,0.3817954361,,0.5149735808,,0.5295038819,,25.2054830759,,0.9972210526,,90.5419529883,,79.3409955815,,38.6902331784,,2.4728786945,,0.4259282053,,0.7024304271,,0.6625531912,,88.6158447266,,87.8085098267,,117.7484507139,,69.9959307728,,1226.1474609375,,27.3345070493,,13.3256961782,,97.8796907344,,60.4483566284,,73.161971831,,3.0851242541,,0.7822688222,,0.6746065617,,0.3603497148,,0.2392221838,,0.6886521578,,0.7294509411,,0.1653266102,,3.5246479511,,0.0747694895,,0.6282502413,,5.106337999,,6.0492957696,,5.2746478781,,2.4753520489,,5.9528168952,,0.3873239458,,2.4209542274,,0.4186587334,,0.6495193839,,0.6795434952,,0.7169860005,,4.7183098793,,0.8001864552,,0.201083988,,0.2827500701,,0.4789169431,,0.4919527471,,0.2418392599,,0.5075876713,,,,,2.2460553646,1739900032,3.6369941235,47604.14453125,3.6900942326,285162930176,7.6996078491,9.1733207703,316.6946716309,704164.9375
_mean,,2014,,,,,10.2276268005,,18.545836969,,8.854929612,,1.820743084,,24.5293827057,,1.8508790731,,1.5393731594,,1.5157981663,,5.3236233441,,2.4403669834,,1.9349633455,,0.3456091583,,70.4292174252,,2.6354777813,,0.598310709,,0.546431005,,0.5943592191,,11.310174942,,106.7744315107,,0.8684622645,,15.7182064056,,0.8528999686,,6.1288732702,,2.4440307617,,3.3957657814,,28.9774647216,,0.846999824,,0.7003089786,,0.8048126101,,4.676056385,,4.8285307884,,30.302816391,,0.4904122651,,0.0201384276,,-0.0747887343,,16.8169326782,,0.0824647918,,66.4318885708,,0.525631249,,0.4992584586,,0.7329704165,,0.198072657,,0.3817954361,,0.517252624,,0.5299198031,,24.8106637666,,0.9492313862,,90.5491946414,,79.8668018907,,39.6444871947,,2.6074147224,,0.4956415892,,0.7052265406,,0.6614539623,,89.3893661499,,88.7347412109,,114.4090140813,,70.7484879508,,1273.6567382813,,25.6191549281,,12.647009462,,97.8981944071,,62.0525016785,,73.4633803139,,3.0256208573,,0.7822688222,,0.6668192744,,0.3845610619,,0.2391355485,,0.6909505725,,0.7294509411,,0.1654872298,,3.573943615,,0.0747694895,,0.615285635,,5.2105633835,,6.0683098746,,5.1704225448,,2.426056385,,5.8669014229,,0.4154929519,,2.4209542274,,0.4328994751,,0.6563691497,,0.6743593812,,0.7273482084,,4.7323942184,,0.799044013,,0.2094628066,,0.2886415422,,0.4891814291,,0.4919527471,,0.2424262166,,0.5041378736,,,,,1.8354618549,1794533504,3.5496988297,53493.984375,5.1628198624,306233344000,7.6152667999,8.9647960663,282.783996582,997727.1875
_mean,,2015,,,,,10.2680549622,,19.0144538031,,8.9190140677,,1.8358289003,,24.5638179779,,1.7875732183,,1.4908452034,,1.3512764131,,4.4378416094,,2.3939630985,,1.9828964472,,0.3689929843,,70.3930985915,,2.7044625282,,0.5991406441,,0.5457746387,,0.5974022746,,11.5285549164,,109.2975596804,,0.8572106361,,16.2084789276,,0.8621287942,,5.9873239437,,2.3607876301,,3.611661911,,25.5126761201,,0.8576384187,,0.7003089786,,0.8030842543,,4.676056385,,4.9577293396,,31.1901416779,,0.490480274,,0.0222535226,,-0.0700704232,,16.8156471252,,0.0829577446,,65.3675716422,,0.5253294706,,0.5048024654,,0.7278642654,,0.2008878887,,0.3817954361,,0.5284211636,,0.5371198654,,24.5278182433,,0.9519963264,,90.0744622996,,79.9475689807,,40.31368228,,2.6118927002,,0.4959416986,,0.705099225,,0.6499413252,,89.2622909546,,88.5994567871,,109.2477853768,,70.9766928982,,1377.7626953125,,24.6647887406,,12.2811940589,,36.0566570148,,62.2199172974,,73.4633803435,,3.0309188088,,0.7822688222,,0.6639008522,,0.3929278851,,0.2387199104,,0.6860896349,,0.7294509411,,0.174848631,,3.5281689167,,0.0747694895,,0.6189630628,,5.2373239437,,6.1957746479,,5.2014084507,,2.4718310833,,5.7852112676,,0.492957741,,2.4207532406,,0.440648526,,0.6632960439,,0.6969656348,,0.7387202382,,4.7323942184,,0.8042461872,,0.2060525119,,0.3113473356,,0.4971985817,,0.4919527471,,0.2420966178,,0.50556463,,,,,1.7374082804,1997794176,3.5780746937,54772.75,6.4363703728,306203262976,7.6952061653,8.7553596497,329.9177246094,1256625.5
,,,,,,,ECONOMY sub-index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTREPRENEURSHIP & OPPORTUNITY sub-index,,,,,,,,,,,,,,,,,,,,,,,,GOVERNANCE sub-index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDUCATION sub-index,,,,,,,,,,,,,,,,,,HEALTH sub-index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAFETY & SECURITY sub-index,,,,,,,,,,,,,,,,,,,,,,PERSONAL FREEDOM sub-index,,,,,,,,,,SOCIAL CAPITAL sub-index,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Own Calculation,Own Calculation,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,World Development Indicators,World Development Indicators,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,ITU,ITU,ITU,ITU,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,Failed States Index,Failed States Index,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,ITU,ITU,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Freedom House,Freedom House,Polity IV,Polity IV,Polity IV,Polity IV,Witold Henisz,Witold Henisz,WB Governance Indicators,WB Governance Indicators,WB Governance Indicators,WB Governance Indicators,Witold Henisz,Witold Henisz,WB Governance Indicators,WB Governance Indicators,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,Barro & Lee,Barro & Lee,Barro & Lee,Barro & Lee,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,WHO,WHO,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,WHO,WHO,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,World Development Indicators,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Amnesty International & US State Department,Amnesty International & US State Department,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Failed States Index,Failed States Index,Failed States Index,Failed States Index,Failed States Index,Failed States Index,Amnesty International,Failed States Index,Failed States Index,Failed States Index,MEPV Center for Systemic Peace,MEPV Center for Systemic Peace,Gallup World Poll,Gallup World Poll,Freedom House & Gallup World Poll,Freedom House & Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Freedom House,Freedom House,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,Gallup World Poll,,,,,,,,,,,,,
,,,,,,,"Capital 
per worker (USD)","Capital per 
worker  (USD)Year","Gross domestic
savings (% of GDP)","Gross domestic
savings (% of GDP) Year",Unemployment rate (% of labour force),Unemployment rate (% of labour force) Year,"Non-performing 
loans (% of total loans) ","Non-performing
loans (% of total loans) Year",Market size (million USD) ,"Market size
(million USD) Year","Hi-tech exports 
(% of manufactured exports)","Hi-tech exports 
(% of manufactured exports) Year","FDI size
and volatility (current USD/3-yr SD)","FDI size 
and volatility (current USD/3-yr SD) Year",log ofInflation rate (%),"log of Inflation
rate (%) Year",Inflation rate (%),"Inflation
rate (%) Year","5-year GDP 
per capita growth rate (%)","5-year GDP 
per capita growth rate (%) Year","Expectations (0 - 3 scale)
of the economy","Expectations 
of the economy (0 - 3 scale) Year","Is it a good 
time to find a job? (% yes)","Is it a good 
time to find a job? (% yes) Year","Do you have 
access to adequate food and shelter? (% yes)","Do you have 
access to adequate food and shelter? (% yes) Year",Gross Domestic Savings (% of GDP),Gross Domestic Savings (% of GDP),"Do you have 
confidence in financial institutions?  (% yes)","Do you have 
confidence in financial institutions?  (% yes) Year","Employment Status 
(% who are employed)","Employment Status 
(% who are employed) Year","Satisfied with 
living standards? (% yes)","Satisfied with 
living standards? (% yes) Year",Internet bandwidth (Thousands Mpbs),Internet bandwidth (Thousands Mpbs) Year,Mobile phones (per 100 people),Mobile phones (per 100 people) Year,ICT Exports (% of total exports),ICT Exports (% of total exports) Year,Royalty receipts (Thousands USD),Royalty receipts (current USD) Year,R&D expenditure (% of GDP),R&D expenditure (% of GDP) Year,Uneven economic development (0 - 10),Uneven economic development (0 - 10) year,Log of Business start-up costs (% of GNI per capita) ,Log of Business start-up costs (% of GNI per capita) Year,Secure internet servers (per 1 million people) ,Secure internet servers (per 1 million people) Year,Business start-up costs (% of GNI per capita) ,Business start-up costs (% of GNI per capita) Year,Mobile phones per household (% yes whose household has a mobile) ,Mobile phones per household (% yes whose household has a mobile) year,Good place for entrepreneurs to start a business? (% yes),Good place for entrepreneurs to start a business? (% yes) year,Can people get ahead by working hard? (% yes),Can people get ahead by working hard? (% yes) year,Political rights (1 - 7 scale) ,Political rights (1 - 7 scale) year,Government type (-10 - 10 scale),Government type (-10 - 10 scale) year,Government stability (no of years),Government stability (no of years) year,Political constraints (0-1 scale),Political constraints (0-1 scale) year,Government effectiveness (-2.5 - 2.5 scale),Government effectiveness (-2.5 - 2.5 scale) year,Rule of Law (-2.5 - 2.5 scale),Rule of Law (-2.5 - 2.5 scale) Year,Separation of Powers (1 - 32 scale),Separation of Powers (1 - 32 scale) year,Regulation quality (-2.5 - 2.5 scale),Regulation quality (-2.5 - 2.5 scale) year,Are the businesses and government corrupt? (% yes),Are the businesses and government corrupt? (% yes) year,Do you have confidence in the judicial system?  (% yes),Do you have confidence in the judicial system?  (% yes) year,Do you have confidence in the honesty of elections?  (% yes),Do you have confidence in the honesty of elections?  (% yes) year,Do you have confidence in the military?  (% yes),Do you have confidence in the military?  (% yes) year,Voiced concern to a public official in past year? (% yes),Voiced concern to a public official in past year? (% yes) year,Satisfied with efforts to deal with the poor? (% yes),Satisfied with efforts to deal with the poor? (% yes) year,Do you have confidence in the national government?  (% yes),Do you have confidence in the national government?  (% yes) year,Satisfied with efforts to preserve environment? (% yes),Satisfied with  efforts to preserve environment? (% yes) year,Pupil to teacher ratio,Pupil to teacher ratio year,Girls to boys enrolment ratio,Girls to boys enrolment ratio year,Net primary enrolment rate (% enrollment of prim sch aged children),Net primary enrolment rate (% enrollment of prim sch aged children) year,Gross secondary enrolment rate (% of total enrolled/sec.sch.aged),Gross secondary enrolment rate (% of total enrolled/sec.sch.aged) year,Gross tertiary enrolment rate (% of total enrolled/ter.sch.aged),Gross tertiary enrolment rate (% of total enrolled/ter.sch.aged) year,Secondary education per worker (yrs per worker),Secondary education per worker (yrs per worker) year,Tertiary education per worker (yrs per worker),Tertiary education per worker (yrs per worker) year,Do children have the opportunity to learn and grow every day? (% yes) ,Do children have the opportunity to learn and grow every day? (% yes) year,Are you satisfied with the educational system or the schools ? (% yes),Are you satisfied with the educational system or the schools ? (% yes) year,Rate of immunisation against infectious disease  (% of children ages 12-23 months),Rate of immunisation against infectious disease  (% of children ages 12-23 months) year,Rate of immunisation against measles (% of children ages 12-23 months),Rate of immunisation against measles  (% of children ages 12-23 months) year,"Incidence of tuberculosis ( per 100,000 people)","Incidence of tuberculosis ( per 100,000 people) year",Life expectancy,Life expectancy year,Health expenditure per person (Int. Dollars PPP),Health expenditure per person (Int. Dollars PPP) year,"Infant mortality rate (per 1,000 live births)","Infant mortality rate (per 1,000 live births) year",Undernourishment (% of population),Undernourishment (% of population) year,"Deaths from respiratory diseases (per 100,000 people)","Deaths from respiratory diseases (per 100,000 people) year",Health-adjusted life expectancy (years),Health-adjusted life expectancy (years) year,Sanitation (% of population),Sanitation (% of population) year,"Hospital beds (per 1,000 people)","Hospital beds (per 1,000 people) year",Satisfied with personal health? (% yes),Satisfied with personal health? (% yes) year,Did you feel well-rested yesterday? (% yes),Did you feel well-rested yesterday? (% yes) year,Did you experience worrying yesterday? (% yes),Did you experience worrying yesterday? (% yes) year,Do you have any health problems that prevent you from doing any of the things people your age normally can do? (% yes) ,Do you have any health problems that prevent you from doing any of the things people your age normally can do? (% yes) year,Satisfied with the quality of water? (% yes),Satisfied with the quality of water? (% yes) year,Satisfied with the beauty of the environment? (% yes),Satisfied with the beauty of the environment? (% yes) year,"Within the past 12 months, have you had money or property stolen from you or another household member? (% yes)","Within the past 12 months, have you had money or property stolen from you or another household member? (% yes) year",State-sponsored political violence (1 - 5 scale),State-sponsored political violence (1-5 scale) year,Have you been assaulted in past year? (% yes),Have you been assaulted in past year? (% yes) year,Do you feel safe walking alone at night in the area or city where you live? (% yes),Do you feel safe walking alone at night in the area or city where you live? (% yes) year,Refugees and Internally Displaced Persons (0 - 10 scale),Refugees and Internally Displaced Persons (0-10 scale) year,Group grievances (0 - 10 scale),Group grievances (0-10 scale) year,Human emigration (0 - 10 scale),Human emigration (0-10 scale) year ,State-sponsored political violence (1-5 scale),State-sponsored political violence (0-10 scale) year,Demographic Instability (0-10 scale),Demographic Instability (0-10 scale) year,Civil war casualties,Civil war casualties year,Ability to express political opinion without fear (0-4 scale),Ability to express political opinion without fear (0-4 scale) year,Composite of civil liberties and freedom of choice,Composite of civil liberties and freedom of choice year,Good place to live for immigrants? (% yes),Good place to live for immigrants? (% yes) year,Good place to live for ethnic minorities? (% yes),Good place to live for ethnic minorities? (% yes) year,Satisfied with freedom of choice? (% yes) ,Satisfied with freedom of choice? (% yes) year,Civil liberties,Civil liberties year,"If you were in trouble, do you have relatives or friends you can count on to help you whenever you need them? (% yes)","If you were in trouble, do you have relatives or friends you can count on to help you whenever you need them? (% yes) year",Have you volunteered your time to an organization in past month? (% yes),Have you volunteered your time to an organization in past month? (% yes) year,Donated money to charity in past month?  (% yes),Donated money to charity in past month?  (% yes) year,Have you helped a stranger in past month? (% yes),Have you helped a stranger in past month? (% yes) year,Attended a place of worship in past week? (% yes),Attended a place of worship in past week? (% yes) year,Do you think that most people can be trusted? (% yes),Do you think that most people can be trusted? (% yes) year,What is your current marital status? (% yes),What is your current marital status? (% yes) year,,,,,,,,,,,,,
country,isocode,year,region,PI_region,income,landlocked,lcapitalpw,lcapitalpw_year,grdomsav,grdomsav_year,unemped,unemped_year,lnploans,lnploans_year,lmarketsize,lmarketsize_year,lhitechexp,lhitechexp_year,lfdisv,lfdisv_year,linflB,linflB_year,inflB,inflB_year,absgdppcgrowth,absgdppcgrowth_year,econexpect,econexpect_year,jobmarket,jobmarket_year,index_foodshelter,index_foodshelter_year,lgrdomsav,lgrdomsav_year,FIconfidence,FIconfidence_year,employed,employed_year,satlivstandard,satlivstandard_year,lintlband,lintlband_year,mobilegdp,mobilegdp_year,lictexp,lictexp_year,lroyaltyrec,lroyaltyrec_year,predictedRD,predictedRD_year,unevenecondev,unevenecondev_year,lstartupcost,lstartupcost_year,linternetserverB,linternetserverB_year,startupcost,startupcost_year,mobileswb,mobileswb_year,enventrep,enventrep_year,workhard,workhard_year,polrights,polrights_year,govtype,govtype_year,govstability,govstability_year,polconstraint,polconstraint_year,goveffectiveB,goveffectiveB_year,rulelawB,rulelawB_year,executiveB,executiveB_year,regulationB,regulationB_year,index_corruption,index_corruption_year,courtapprove,courtapprove_year,confelections,confelections_year,confidentmilit,confidentmilit_year,voiced_concern,voiced_concern_year,addresspoverty,addresspoverty_year,govapprove,govapprove_year,enviropreserve,enviropreserve_year,primpuptoteach,primpuptoteach_year,girlstoboysnormB,girlstoboysnormB_year,netprimschB,netprimschB_year,grsecschB,grsecschB_year,grterschB,grterschB_year,secperwkrB,secperwkrB_year,terperwkrB,terperwkrB_year,childrenlearn,childrenlearn_year,educationqualsat,educationqualsat_year,dptimmun,dptimmun_year,measlimmun,measlimmun_year,tuberculosis,tuberculosis_year,lifexpectgdp,lifexpectgdp_year,ppphealthexpaidB,ppphealthexpaidB_year,infantmortalityB,infantmortalityB_year,undernourishB,undernourishB_year,respdisease,respdisease_year,haleswb,haleswb_year,sanitation,sanitation_year,hospbeds,hospbeds_year,healthsat,healthsat_year,wellrested,wellrested_year,worryyest,worryyest_year,healthproblems,healthproblems_year,waterqual,waterqual_year,envirobeautysat,envirobeautysat_year,propertystolen,propertystolen_year,stateviolencegdp,stateviolencegdp_year,assaultedB,assaultedB_year,safewalkingB,safewalkingB_year,refugeeidpB,refugeeidpB_year,grievanceB,grievanceB_year,humanemigrate,humanemigrate_year,stateviolenceswb,stateviolenceswb_year,demopressure,demopressure_year,warcasual,warcasual_year,expresspolitfear,expresspolitfear_year,civchoice,civchoice_year,tolimmigB,tolimmigB_year,tolethnicB,tolethnicB_year,freechoicesat,freechoicesat_year,civlib,civlib_year,relyB,relyB_year,volunteeredB,volunteeredB_year,donatedB,donatedB_year,helpedstrangerB,helpedstrangerB_year,relattend,relattend_year,trustothers,trustothers_year,married,married_year,,,,gdppcgrowth,royaltyrec,ictexp,capitalpw,fdisv,marketsize,nploans,hitechexp,internetserverB,intlband
Afghanistan,AFG,2012,Asia South,Asia-Pacific,Low income,1,8.2276086807,,-21.79243945,2010,35,2008,0.5538851023,2009,23.2556419373,2010,0.53733325,,0.5154079795,2010,0.6379182232,2010,0.892536936,2010,7.8113903999,2010,*,2010,*,2011,*,2011,0,2010,*,2011,*,2011,*,2011,7.6014022827,2011,54.2620811462,2011,0.3298247457,,0,,0.3067790866,2010,8.3999996185,2011,3.2884018421,2011,0.484128505,2011,25.7999992371,2011,*,2011,*,2010,*,2011,2,2011,-1.8764405251,,0,2010,0,2007,-1.4711923599,2010,-1.8976236582,2010,4.9188323021,,-1.5615587234,2010,*,2011,*,2011,*,2011,*,2011,*,2010,*,2010,*,2011,*,2011,44.41709,2010,0.6638457179,2010,61,2008,45.53538,2010,3.33044,2009,0.7336937785,2010,0.2715988159,2010,*,2011,*,2011,66,2010,62,2010,189,2010,48.28219512,2010,69,2009,103,2010,18.2151412964,,144,2008,36,2007,37,2010,0.4,2010,*,2011,*,2011,*,2011,*,2011,*,2011,*,2011,*,2011,1.5,2010,*,2010,*,2011,9.3000001907,2011,9.3000001907,2011,7.1559534073,2011,4.5,2010,9.1000003815,2011,0,2011,*,2010,*,2011,*,2011,*,2011,*,2011,2,2011,*,2011,*,2011,*,2011,*,2011,*,2010,*,2010,*,2011,,,,7.8113903999,0,0.3907243907,3741.8725585938,0.6743214726,12583369728,0.7400000095,0.7114368081,0.6227601767,1999.9998779297
Afghanistan,AFG,2013,Asia South,Asia-Pacific,Low income,1,8.8221139908,,-11.01301669,2011,35,2008,0.5538851023,2009,23.2209968567,2011,0.9087687135,,0.7302893996,2011,2.0539079966,2012,6.7983174324,2012,7.9732985497,2011,*,2012,*,2012,*,2012,0,2011,*,2012,*,2011,*,2012,7.6014022827,2012,53.9000015259,2012,0.0519046225,,13.4978065491,2009,0.2648228109,2011,8.1000003815,2012,3.1570003033,2012,0.6931471825,2012,22.5,2012,*,2012,*,2010,*,2012,2,2012,-2.1782181263,,0,2011,0,2012,-1.4600000381,2011,-1.9400000572,2011,5.5879120827,2010,-1.5399999619,2011,*,2012,*,2012,*,2012,*,2012,*,2012,*,2012,*,2012,*,2012,44.7361,2011,0.6863167882,2011,61,2008,48.57407,2011,3.3304400444,2009,0.7336937785,2010,0.2715988159,2010,*,2012,*,2012,66,2011,62,2011,189,2011,48.68058537,2011,50.4700012207,2011,72.7,2011,20.6247386932,,144,2008,36,2007,37,2010,0.4,2010,*,2012,*,2012,*,2012,*,2012,*,2012,*,2012,*,2012,1,2011,*,2010,*,2012,9,2012,9.3999996185,2012,7.4000000954,2012,5,2011,8.8999996185,2012,0,2012,*,2010,*,2012,*,2012,*,2012,*,2012,2,2012,*,2012,*,2012,*,2012,*,2012,*,2010,*,2010,*,2012,,,,7.9732985497,727817.1875,0.0532752797,6781.587890625,1.0756812096,12154883072,0.7400000095,1.4812655449,1,1999.9998779297
